algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
quick-dual-pivot,128,68,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0021810250817884407
quick-dual-pivot,128,68,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004362050163576881
quick-dual-pivot,128,68,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.008724100327153763
quick-dual-pivot,128,68,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.017448200654307525
quick-dual-pivot,128,68,32,0.91796875,0.09375,0.4962901585712291,0.28125,0.91796875,0.09375,0.4962901585712291,0.28125,0.03489640130861505
quick-dual-pivot,128,68,64,0.85546875,0.1640625,0.5685783234101511,0.265625,0.85546875,0.1640625,0.5685783234101511,0.265625,0.0697928026172301
quick-dual-pivot,128,68,128,0.73028564453125,0.3125,0.6419709001090094,0.26171875,0.73028564453125,0.3125,0.6419709001090094,0.26171875,0.1395856052344602
quick-dual-pivot,128,68,256,0.550933837890625,0.53125,0.7304847490024172,0.24609375,0.550933837890625,0.53125,0.7304847490024172,0.24609375,0.2791712104689204
quick-dual-pivot,128,68,512,0.5569305419921875,0.484375,0.8238797756433851,0.123046875,0.5569305419921875,0.484375,0.8238797756433851,0.123046875,0.5583424209378408
quick-dual-pivot,128,68,917,0.39072723555070876,0.59375,0.9224691472601803,0.06870229007633588,0.39072723555070876,0.59375,0.9224691472601803,0.06870229007633588,1.0
quick-dual-pivot,128,69,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0011655011655011655
quick-dual-pivot,128,69,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002331002331002331
quick-dual-pivot,128,69,4,0.974609375,0.0234375,0.2722341517470809,0.375,0.974609375,0.0234375,0.2722341517470809,0.375,0.004662004662004662
quick-dual-pivot,128,69,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.009324009324009324
quick-dual-pivot,128,69,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.018648018648018648
